,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MC00427|ETV1,1.1788723382755162e-05,,Cistrome,,16,,22012618,Ets Domain Family,,ets variant 1,Homo Sapiens,RWPE1,2115,ETV1,,NM_001163147|NM_001163148|NM_001163149|NM_001163150|NM_001163151|NM_001163152|NM_004956,,,,,,,4844(1/1),-19.6806,(1) denovo|(2) ELF1|(3) denovo|(4) WRNIP1|(5) denovo|(6) denovo|(7) RARG,(1)|(2) Ets Domain Family|(3)|(4)|(5)|(6)|(7) Hormone-nuclear Receptor Family,,7.0,"[[[0.156, 0.294, 0.447, 0.102], [0.207, 0.281, 0.423, 0.089], [0.207, 0.239, 0.436, 0.117], [0.364, 0.158, 0.454, 0.025], [0.076, 0.647, 0.251, 0.027], [0.328, 0.633, 0.025, 0.013], [0.011, 0.019, 0.966, 0.003], [0.008, 0.009, 0.973, 0.009], [0.942, 0.015, 0.031, 0.012], [0.854, 0.033, 0.030, 0.084], [0.034, 0.051, 0.904, 0.011], [0.025, 0.348, 0.036, 0.591], [0.141, 0.154, 0.636, 0.068], [0.210, 0.235, 0.515, 0.040], [0.176, 0.388, 0.350, 0.086], [0.139, 0.226, 0.461, 0.175]]]",ETV1
MC00109|Klf4,1.2158660552263889e-05,,Cistrome,,18,,18555785,BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 4 (gut),Mus Musculus,E14,16600,Klf4,,NM_010637,,,,,,,180(1/1),-45.5333,(1) KLF4|(2) denovo|(3) denovo|(4) Klf4|(5) denovo|(6) CACD|(7) Klf7|(8) denovo|(9) denovo|(10) denovo|(12) Sp1|(13) Sp1|(14) Sp1|(15) GC box|(16) MET31|(17) Sp1|(18) Sp1|(19) AFT2|(20) SP4|(21) Sp4|(22) CACCC-binding factor,(1) BetaBetaAlpha-zinc finger Family|(2)|(3)|(4) BetaBetaAlpha-zinc finger Family|(5)|(6)|(7) BetaBetaAlpha-zinc finger Family|(8)|(9)|(10)|(12) BetaBetaAlpha-zinc finger Family|(13) BetaBetaAlpha-zinc finger Family|(14) BetaBetaAlpha-zinc finger Family|(15)|(16)|(17) BetaBetaAlpha-zinc finger Family|(18) BetaBetaAlpha-zinc finger Family|(19)|(20) BetaBetaAlpha-zinc finger Family|(21) BetaBetaAlpha-zinc finger Family|(22),,21.0,"[[[0.192, 0.220, 0.433, 0.155], [0.253, 0.312, 0.250, 0.184], [0.373, 0.021, 0.203, 0.402], [0.009, 0.002, 0.985, 0.004], [0.005, 0.002, 0.983, 0.010], [0.016, 0.002, 0.978, 0.004], [0.017, 0.475, 0.002, 0.506], [0.014, 0.003, 0.982, 0.001], [0.011, 0.007, 0.384, 0.598], [0.046, 0.011, 0.927, 0.016], [0.022, 0.028, 0.886, 0.064], [0.058, 0.579, 0.052, 0.311]]]",Klf4
MS00678|EGR4,1.531880538557795e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,early growth response 4,Homo Sapiens,293FT,1961,EGR4,,NM_001965,,,,,,,,,,,,,"[[[0.209, 0.261, 0.180, 0.350], [0.209, 0.304, 0.096, 0.391], [0.551, 0.387, 0.030, 0.032], [0.020, 0.887, 0.030, 0.063], [0.063, 0.054, 0.803, 0.080], [0.010, 0.957, 0.014, 0.019], [0.025, 0.936, 0.023, 0.016], [0.010, 0.938, 0.024, 0.028], [0.718, 0.168, 0.056, 0.058], [0.010, 0.915, 0.024, 0.051], [0.025, 0.196, 0.751, 0.028], [0.010, 0.906, 0.038, 0.046], [0.682, 0.124, 0.123, 0.071], [0.324, 0.264, 0.077, 0.335], [0.259, 0.143, 0.115, 0.483], [0.210, 0.197, 0.165, 0.428]]]",EGR4
MS00843|GLI2,1.5452671576821064e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,GLI family zinc finger 2,Homo Sapiens,239FT,2736,GLI2,,NM_005270,,,,,,,,,,,,,"[[[0.045, 0.047, 0.805, 0.103], [0.679, 0.192, 0.119, 0.010], [0.039, 0.941, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.766, 0.090, 0.055, 0.089], [0.010, 0.970, 0.010, 0.010], [0.322, 0.658, 0.010, 0.010], [0.085, 0.792, 0.016, 0.107], [0.814, 0.018, 0.144, 0.024], [0.190, 0.546, 0.135, 0.129], [0.310, 0.183, 0.415, 0.092], [0.346, 0.145, 0.232, 0.277], [0.274, 0.363, 0.117, 0.246], [0.119, 0.198, 0.550, 0.133]]]",GLI2
MC00320|EGR1,1.616023336392658e-05,,Cistrome,,16,,None,BetaBetaAlpha-zinc finger Family,,early growth response 1,Homo Sapiens,K562,1958,EGR1,,NM_001964,,,,,,,2778(2/2),-55.6656,(1) denovo|(2) denovo|(3) denovo|(4) EGR4|(5) Egr-1|(6) EGR3|(7) EGR2|(8) Egr1|(9) denovo|(10) denovo|(11) denovo|(12) Egr|(13) denovo|(14) SP1|(15) denovo|(16) denovo|(18) Sp1|(19) SP4|(20) Sp1|(21) Sp1|(24) Sp1,(1)|(2)|(3)|(4) BetaBetaAlpha-zinc finger Family|(5)|(6) BetaBetaAlpha-zinc finger Family|(7) BetaBetaAlpha-zinc finger Family|(8) BetaBetaAlpha-zinc finger Family|(9)|(10)|(11)|(12)|(13)|(14) BetaBetaAlpha-zinc finger Family|(15)|(16)|(18) BetaBetaAlpha-zinc finger Family|(19) BetaBetaAlpha-zinc finger Family|(20) BetaBetaAlpha-zinc finger Family|(21) BetaBetaAlpha-zinc finger Family|(24) BetaBetaAlpha-zinc finger Family,,21.0,"[[[0.180, 0.773, 0.019, 0.027], [0.006, 0.985, 0.005, 0.004], [0.240, 0.002, 0.658, 0.100], [0.005, 0.991, 0.004, 0.000], [0.000, 0.996, 0.003, 0.001], [0.003, 0.978, 0.002, 0.017], [0.477, 0.516, 0.005, 0.002], [0.000, 0.997, 0.003, 0.000], [0.079, 0.007, 0.812, 0.102], [0.007, 0.952, 0.015, 0.026], [0.372, 0.325, 0.169, 0.134], [0.098, 0.453, 0.274, 0.175], [0.138, 0.409, 0.239, 0.214]]]",EGR1
MS00789|Egr3,1.729151788565364e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,early growth response 3,Mus Musculus,293FT,13655,Egr3,,NM_018781,,,,,,,,,,,,,"[[[0.313, 0.241, 0.093, 0.353], [0.655, 0.323, 0.010, 0.012], [0.010, 0.970, 0.010, 0.010], [0.018, 0.010, 0.962, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.936, 0.010, 0.044], [0.777, 0.203, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.886, 0.031, 0.062, 0.021], [0.316, 0.269, 0.078, 0.337], [0.298, 0.117, 0.087, 0.498], [0.233, 0.214, 0.140, 0.413]]]",Egr3
MC00110|Klf1,1.837162746576304e-05,,Cistrome,,16,,20508144,BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 1 (erythroid),Mus Musculus,Erythroblast,16596,Klf1,,NM_010635,,,,,,,1729(1/1),-14.1393,(1) KLF4,(1) BetaBetaAlpha-zinc finger Family,,1.0,"[[[0.330, 0.077, 0.549, 0.044], [0.143, 0.797, 0.038, 0.022], [0.055, 0.835, 0.017, 0.093], [0.615, 0.374, 0.005, 0.005], [0.044, 0.951, 0.000, 0.005], [0.621, 0.011, 0.313, 0.055], [0.005, 0.973, 0.005, 0.017], [0.011, 0.973, 0.005, 0.011], [0.011, 0.951, 0.000, 0.038], [0.451, 0.181, 0.005, 0.363], [0.170, 0.203, 0.368, 0.258], [0.214, 0.352, 0.214, 0.220]]]",Klf1
MC00430|Egr2,1.9970525169665798e-05,,Cistrome,,20,,,BetaBetaAlpha-zinc finger Family,,early growth response 2,Mus Musculus,Thymocyte,13654,Egr2,Egr-2 Krox-20 Krox20 NGF1-B Zfp-25 Zfp-6,NM_010118,30.0,,,,,,6157(2/2),-48.29600000000001,(0) denovo (1) denovo (2) denovo (3) denovo (4) EGR3 Egr3 (5) EGR2 Egr2 (6) EGR4 Egr4 (7) denovo (8) EGR1 Egr1 (9) denovo (10) denovo (11) denovo (12) denovo (13) SP4 Sp4 (14) KLF4 Klf4 (15) denovo (16) Ovol2 (17) denovo (18) denovo (19) denovo,(0)  (1)  (2)  (3)  (4) BetaBetaAlpha-zinc finger Family (zf-C2H2) (5) BetaBetaAlpha-zinc finger Family (zf-C2H2) (6) BetaBetaAlpha-zinc finger Family (zf-C2H2) (7)  (8) BetaBetaAlpha-zinc finger Family (zf-C2H2) (9)  (10)  (11)  (12)  (13)  (14) BetaBetaAlpha-zinc finger Family (zf-C2H2) (15)  (16) BetaBetaAlpha-zinc finger Family (zf-C2H2) (17)  (18)  (19),,20.0,"[[[0.247, 0.658, 0.034, 0.062], [0.019, 0.953, 0.010, 0.017], [0.234, 0.009, 0.609, 0.148], [0.005, 0.983, 0.006, 0.005], [0.004, 0.983, 0.010, 0.003], [0.006, 0.953, 0.010, 0.030], [0.922, 0.059, 0.011, 0.009], [0.003, 0.986, 0.005, 0.005], [0.234, 0.024, 0.572, 0.170], [0.011, 0.897, 0.042, 0.050], [0.364, 0.284, 0.195, 0.157], [0.079, 0.481, 0.231, 0.209], [0.203, 0.380, 0.223, 0.194]]]",Egr2
MC00182|E2F1,2.0179975960377128e-05,,Cistrome,,20,,20622854,Transcription Factor Family,,E2F transcription factor 1,Homo Sapiens,Epithelial / HeLa,1869,E2F1,E2F-1 RBAP1 RBBP3 RBP3,NM_005225,145.0,,,,,,313(1/1),-24.8378,(0) E2F-1 E2F1 (1) E2F-1 E2F1 (2) denovo (3) denovo (4) denovo (5) E2F4::TFDP2 (6) E2F1 E2f1 (7) denovo (8) denovo (9) E2F1::TFDP1 (10) E2F-1 E2F1 (11) E2F1::TFDP2 (12) E2F (13) E2F1 E2f1 (14) E2F1 E2f1 (15) E2F4::TFDP1 (16) E2F-1 E2F1 (17) E2F1 (18) E2F1 E2f1 (19) E2F1 E2f1 (20) E2F1 (21) E2F-1 E2F1 (23) UGA3 (24) E2F1 (25) E2F-1 E2F1 (26) denovo (27) E2F1 (28) E2F-1 E2F1 (29) E2F1 E2f1 (30) E2F1,(0)  (1)  (2)  (3)  (4)  (5)  (6) Transcription Factor Family (7)  (8)  (9)  (10)  (11)  (12)  (13) Transcription Factor Family (14) Transcription Factor Family (15)  (16)  (17) Transcription Factor Family (18) Transcription Factor Family (19) Transcription Factor Family (20) Transcription Factor Family (21)  (23)  (24) Transcription Factor Family (25)  (26)  (27) Transcription Factor Family (28)  (29) Transcription Factor Family (30) Transcription Factor Family,,30.0,"[[[0.252, 0.066, 0.371, 0.311], [0.063, 0.166, 0.155, 0.617], [0.088, 0.052, 0.055, 0.805], [0.053, 0.135, 0.005, 0.807], [0.008, 0.713, 0.275, 0.004], [0.008, 0.499, 0.480, 0.013], [0.013, 0.962, 0.003, 0.022], [0.009, 0.005, 0.974, 0.011], [0.008, 0.694, 0.291, 0.006], [0.005, 0.588, 0.265, 0.141]]]",E2F1
M01177|SREBF2,2.3298842678043385e-05,,Transfac,,4,,"P1481876. New matrix entries., Rel121 Book 0001 (2008)",Helix-Loop-Helix Family,,sterol regulatory element binding transcription factor 2,Homo Sapiens,,6721,SREBF2,SREBP2 bHLHd2,NM_004599,277.0,,,,,,,,,,,,"[[[0.333, 0.286, 0.190, 0.191], [0.143, 0.286, 0.381, 0.190], [0.238, 0.095, 0.571, 0.096], [0.010, 0.619, 0.010, 0.361], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.524, 0.238, 0.228], [0.190, 0.476, 0.095, 0.239], [0.143, 0.381, 0.190, 0.286], [0.095, 0.381, 0.381, 0.143], [0.429, 0.381, 0.095, 0.095], [0.150, 0.400, 0.300, 0.150]]]",SREBF2
M01122|ZNF219,2.349917293892334e-05,,Transfac,,4,,14621294|47626,BetaBetaAlpha-zinc finger Family,,zinc finger protein 219,Homo Sapiens,,51222,ZNF219,ZFP219,NM_001101672|NM_001102454|NM_016423,239.0,,,,,,,,,,,,"[[[0.024, 0.878, 0.049, 0.049], [0.333, 0.010, 0.438, 0.219], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.100, 0.857, 0.033, 0.010], [0.203, 0.356, 0.102, 0.339], [0.018, 0.726, 0.246, 0.010], [0.211, 0.737, 0.018, 0.034], [0.053, 0.860, 0.070, 0.017]]]",ZNF219
MS00090|HINFP1,2.617237426810748e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,,Homo Sapiens,293T,,HINFP1,,,,,,,,,,,,,,,"[[[0.043, 0.011, 0.936, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.283, 0.697, 0.010], [0.030, 0.224, 0.198, 0.548], [0.037, 0.145, 0.234, 0.584], [0.010, 0.494, 0.465, 0.031], [0.555, 0.186, 0.173, 0.086], [0.539, 0.102, 0.344, 0.015], [0.010, 0.784, 0.196, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.967, 0.013, 0.010]]]",HINFP1
MC00328|Zfx,2.6382674166769426e-05,,Cistrome,,16,,18555785,BetaBetaAlpha-zinc finger Family,,zinc finger protein X-linked,Mus Musculus,E14,22764,Zfx,,NM_001044386|NM_011768,,,,,,,179(1/1),-28.9358,(1) Zfa|(2) Zfx|(3) denovo|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) denovo|(9) denovo|(10) denovo|(11) denovo,(1)|(2) BetaBetaAlpha-zinc finger Family|(3)|(4)|(5)|(6)|(7)|(8)|(9)|(10)|(11),,11.0,"[[[0.114, 0.373, 0.455, 0.058], [0.179, 0.357, 0.289, 0.175], [0.043, 0.548, 0.405, 0.004], [0.082, 0.538, 0.135, 0.245], [0.817, 0.014, 0.163, 0.006], [0.003, 0.002, 0.994, 0.001], [0.004, 0.001, 0.990, 0.005], [0.016, 0.966, 0.002, 0.015], [0.004, 0.985, 0.002, 0.009], [0.031, 0.209, 0.428, 0.332], [0.136, 0.599, 0.136, 0.128], [0.276, 0.026, 0.646, 0.052], [0.056, 0.376, 0.544, 0.024], [0.182, 0.498, 0.188, 0.132], [0.117, 0.379, 0.411, 0.093], [0.086, 0.449, 0.395, 0.071]]]",Zfx
MC00134|Ppara,3.047883978879451e-05,,Cistrome,,18,,22158963,Hormone-nuclear Receptor Family,,peroxisome proliferator activated receptor alpha,Mus Musculus,Hepatocyte,19013,Ppara,,NM_001113418|NM_011144,,,,,,,4868(4/4),-36.7704,(1) PPARG|(2) denovo|(3) denovo|(4) PPAR|(5) denovo|(6) HNF4A|(7) HNF4|(8) Nr1h2::Rxra|(9) PPARA|(10) PPARA|(11) Rxrg|(12) PITX2|(13) PPARG|(14) HNF4alpha1|(15) denovo|(16) HNF4A|(17) PPARA::RXRA|(18) denovo|(19) Nr2f2|(21) Rara|(22) NR2F6|(23) denovo|(24) HNF4A|(32) NR2E3,(1) Hormone-nuclear Receptor Family|(2)|(3)|(4)|(5)|(6) Hormone-nuclear Receptor Family|(7)|(8) Hormone-nuclear Receptor Family|(9) Hormone-nuclear Receptor Family|(10) Hormone-nuclear Receptor Family|(11) Hormone-nuclear Receptor Family|(12) Homeodomain Family|(13) Hormone-nuclear Receptor Family|(14)|(15)|(16) Hormone-nuclear Receptor Family|(17)|(18)|(19) Hormone-nuclear Receptor Family|(21) Hormone-nuclear Receptor Family|(22) Hormone-nuclear Receptor Family|(23)|(24) Hormone-nuclear Receptor Family|(32) Hormone-nuclear Receptor Family,,24.0,"[[[0.080, 0.045, 0.059, 0.815], [0.155, 0.168, 0.614, 0.063], [0.605, 0.253, 0.109, 0.033], [0.141, 0.808, 0.004, 0.047], [0.010, 0.883, 0.003, 0.104], [0.005, 0.131, 0.007, 0.856], [0.035, 0.288, 0.047, 0.630], [0.011, 0.023, 0.017, 0.949], [0.105, 0.224, 0.594, 0.078], [0.300, 0.428, 0.137, 0.134], [0.030, 0.797, 0.013, 0.160], [0.083, 0.793, 0.004, 0.120], [0.074, 0.412, 0.023, 0.491], [0.580, 0.141, 0.149, 0.130], [0.146, 0.354, 0.377, 0.123]]]",Ppara
MC00187|Ctcf,3.085856530299358e-05,,Cistrome,,16,,22170606,BetaBetaAlpha-zinc finger Family,,CCCTC-binding factor,Mus Musculus,Embryonic Stem Cell (ESC),13018,Ctcf,,NM_007794|NM_181322,,,,,,,5447(23/23),-67.8105,(1) denovo|(2) CTCF|(3) denovo|(4) CTCF|(5) denovo|(6) denovo|(7) denovo,(1)|(2) BetaBetaAlpha-zinc finger Family|(3)|(4) BetaBetaAlpha-zinc finger Family|(5)|(6)|(7),,7.0,"[[[0.261, 0.063, 0.554, 0.122], [0.073, 0.869, 0.029, 0.029], [0.009, 0.986, 0.004, 0.001], [0.746, 0.025, 0.163, 0.066], [0.026, 0.630, 0.334, 0.010], [0.123, 0.483, 0.050, 0.344], [0.921, 0.020, 0.028, 0.031], [0.005, 0.002, 0.991, 0.002], [0.337, 0.003, 0.653, 0.007], [0.035, 0.035, 0.634, 0.296], [0.005, 0.001, 0.990, 0.004], [0.047, 0.013, 0.888, 0.052], [0.068, 0.891, 0.005, 0.036], [0.300, 0.007, 0.687, 0.006], [0.066, 0.652, 0.256, 0.026], [0.086, 0.388, 0.064, 0.462]]]",Ctcf
M00378|PAX4,3.240021910716484e-05,,Transfac,,4,,10567552,Homeodomain Family,,paired box 4,Homo Sapiens,,5078,PAX4,KPD MGC129960 MODY9,NM_006193,20.0,,,,,,,,,,,,"[[[0.353, 0.235, 0.235, 0.177], [0.471, 0.118, 0.176, 0.235], [0.176, 0.294, 0.176, 0.354], [0.235, 0.353, 0.176, 0.236], [0.235, 0.412, 0.059, 0.294], [0.118, 0.529, 0.010, 0.343], [0.059, 0.872, 0.059, 0.010], [0.941, 0.010, 0.010, 0.039], [0.059, 0.813, 0.118, 0.010], [0.176, 0.706, 0.010, 0.108], [0.059, 0.706, 0.176, 0.059], [0.010, 0.375, 0.375, 0.240]]]",PAX4
M00143|PAX5,3.650434737334507e-05,,Transfac,,4,,8406007,Homeodomain Family,,paired box 5,Homo Sapiens,,5079,PAX5,BSAP,NM_016734,351.0,,,,,,,,,,,,"[[[0.010, 0.286, 0.286, 0.418], [0.143, 0.714, 0.010, 0.133], [0.143, 0.286, 0.429, 0.142], [0.429, 0.143, 0.143, 0.285], [0.286, 0.143, 0.429, 0.142], [0.429, 0.010, 0.551, 0.010], [0.143, 0.429, 0.286, 0.142], [0.010, 0.143, 0.571, 0.276], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.286, 0.286, 0.286, 0.142], [0.010, 0.286, 0.286, 0.418], [0.010, 0.143, 0.837, 0.010], [0.429, 0.143, 0.143, 0.285], [0.286, 0.010, 0.143, 0.561], [0.010, 0.010, 0.970, 0.010], [0.286, 0.429, 0.143, 0.142], [0.429, 0.010, 0.551, 0.010], [0.143, 0.010, 0.286, 0.561], [0.561, 0.143, 0.286, 0.010], [0.143, 0.143, 0.704, 0.010], [0.286, 0.694, 0.010, 0.010], [0.143, 0.418, 0.429, 0.010], [0.286, 0.010, 0.571, 0.133], [0.143, 0.561, 0.286, 0.010], [0.286, 0.429, 0.010, 0.275], [0.143, 0.429, 0.286, 0.142], [0.010, 0.429, 0.286, 0.275]]]",PAX5
MS00346|ZIC3,3.6694445553375754e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,"Zic family member 3 (odd-paired homolog, Drosophila)",Homo Sapiens,FT293,7547,ZIC3,,NM_003413,,,,,,,,,,,,,"[[[0.066, 0.166, 0.540, 0.228], [0.675, 0.134, 0.181, 0.010], [0.033, 0.938, 0.010, 0.019], [0.032, 0.922, 0.014, 0.032], [0.096, 0.811, 0.010, 0.083], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.680, 0.010, 0.300], [0.089, 0.020, 0.881, 0.010], [0.018, 0.820, 0.028, 0.134], [0.069, 0.100, 0.204, 0.627], [0.013, 0.010, 0.964, 0.013], [0.120, 0.445, 0.065, 0.370], [0.012, 0.010, 0.883, 0.095], [0.279, 0.392, 0.065, 0.264]]]",ZIC3
MC00510|E2f3,3.780465002101163e-05,,Cistrome,,16,,22157815,Transcription Factor Family,,E2F transcription factor 3,Mus Musculus,Fibroblast,13557,E2f3,,NM_010093,,,,,,,5006(1/2),-33.6646,(1) denovo|(2) denovo|(5) denovo|(8) denovo|(14) denovo|(15) denovo|(19) denovo|(20) denovo|(21) SP2|(23) denovo,(1)|(2)|(5)|(8)|(14)|(15)|(19)|(20)|(21) BetaBetaAlpha-zinc finger Family|(23),,10.0,"[[[0.154, 0.129, 0.549, 0.167], [0.072, 0.234, 0.685, 0.009], [0.008, 0.014, 0.969, 0.008], [0.010, 0.976, 0.009, 0.004], [0.009, 0.012, 0.975, 0.003], [0.011, 0.011, 0.975, 0.002], [0.002, 0.016, 0.968, 0.013], [0.970, 0.012, 0.010, 0.007], [0.462, 0.116, 0.408, 0.014], [0.209, 0.301, 0.477, 0.012]]]",E2f3
MA0116|Zfp423,3.9254858844428586e-05,,JASPAR,,6,,9774661,BetaBetaAlpha-zinc finger Family,,zinc finger protein 423,Mus Musculus,,94187,Zfp423,Ebfaz Roaz Zfp104 Znf423 ataxia1 mKIAA0760 nur12,NM_033327,202.0,,,,,,,,,,,,"[[[0.212, 0.121, 0.657, 0.010], [0.010, 0.485, 0.495, 0.010], [0.485, 0.495, 0.010, 0.010], [0.495, 0.485, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.030, 0.515, 0.010, 0.445], [0.727, 0.010, 0.010, 0.253], [0.394, 0.010, 0.485, 0.111], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.515, 0.465], [0.010, 0.010, 0.485, 0.495], [0.010, 0.242, 0.485, 0.263], [0.333, 0.647, 0.010, 0.010]]]",Zfp423
MC00374|TFAP2C,4.676158396998975e-05,,Cistrome,,16,,20629094,Helix-Loop-Helix Family,,transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma),Homo Sapiens,MCF-7,7022,TFAP2C,,NM_003222,,,,,,,3516(1/1),-44.7706,(1) denovo|(2) AP-2alphaA|(3) denovo|(4) denovo|(5) denovo|(6) TFAP2C|(7) AP-2alphaA|(8) TFAP2A|(9) AP-2alpha|(10) AP-2|(11) denovo|(12) denovo,(1)|(2)|(3)|(4)|(5)|(6) Helix-Loop-Helix Family|(7)|(8) Helix-Loop-Helix Family|(9)|(10)|(11)|(12),,12.0,"[[[0.209, 0.309, 0.071, 0.411], [0.276, 0.090, 0.341, 0.293], [0.016, 0.294, 0.672, 0.018], [0.009, 0.972, 0.011, 0.008], [0.010, 0.953, 0.005, 0.032], [0.011, 0.397, 0.022, 0.570], [0.029, 0.595, 0.343, 0.032], [0.779, 0.016, 0.198, 0.007], [0.022, 0.002, 0.971, 0.005], [0.007, 0.011, 0.969, 0.013], [0.009, 0.486, 0.491, 0.014], [0.265, 0.467, 0.086, 0.183], [0.452, 0.257, 0.114, 0.178]]]",TFAP2C
UP00102|ZIC1,4.729025214128546e-05,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,"Zic family member 1 (odd-paired homolog, Drosophila)",Homo Sapiens,,7545,ZIC1,ZIC ZNF201,NM_003412,97.0,,,,,,,,,,,,"[[[0.174, 0.368, 0.270, 0.188], [0.360, 0.310, 0.111, 0.219], [0.094, 0.790, 0.026, 0.090], [0.115, 0.779, 0.051, 0.055], [0.105, 0.838, 0.032, 0.025], [0.045, 0.825, 0.074, 0.056], [0.146, 0.593, 0.228, 0.033], [0.045, 0.175, 0.608, 0.172], [0.056, 0.074, 0.825, 0.045], [0.025, 0.032, 0.838, 0.105], [0.055, 0.051, 0.779, 0.115], [0.089, 0.026, 0.790, 0.095], [0.061, 0.068, 0.717, 0.154], [0.098, 0.195, 0.592, 0.115]]]",ZIC1
MS00239|Tcfap2a,4.7622340922093276e-05,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,"transcription factor AP-2, alpha",Mus Musculus,293T,21418,Tcfap2a,,NM_001122948|NM_011547,,,,,,,,,,,,,"[[[0.142, 0.264, 0.032, 0.562], [0.073, 0.181, 0.736, 0.010], [0.010, 0.925, 0.055, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.709, 0.051, 0.230], [0.035, 0.449, 0.185, 0.331], [0.308, 0.351, 0.300, 0.041], [0.420, 0.093, 0.477, 0.010], [0.010, 0.019, 0.961, 0.010], [0.010, 0.150, 0.830, 0.010], [0.010, 0.880, 0.075, 0.035], [0.521, 0.085, 0.218, 0.176]]]",Tcfap2a
MS00171|Rfx2,5.3197037745866815e-05,,SELEX,,9,,23332764,RFX Domain Family,,"regulatory factor X, 2 (influences HLA class II expression)",Mus Musculus,293FT,19725,Rfx2,,NM_009056|NM_027787,,,,,,,,,,,,,"[[[0.059, 0.456, 0.341, 0.144], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.026, 0.035, 0.010, 0.929], [0.065, 0.012, 0.913, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.114, 0.010, 0.866], [0.970, 0.010, 0.010, 0.010], [0.322, 0.052, 0.572, 0.054], [0.010, 0.010, 0.970, 0.010], [0.035, 0.808, 0.055, 0.102], [0.821, 0.016, 0.098, 0.065], [0.894, 0.041, 0.053, 0.012], [0.031, 0.908, 0.026, 0.035], [0.172, 0.310, 0.445, 0.073]]]",Rfx2
MS00246|SP8,5.407436036941604e-05,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Sp8 transcription factor,Homo Sapiens,293FT,221833,SP8,,NM_182700|NM_198956,,,,,,,,,,,,,"[[[0.311, 0.162, 0.467, 0.060], [0.316, 0.651, 0.010, 0.023], [0.122, 0.805, 0.010, 0.063], [0.783, 0.195, 0.010, 0.012], [0.039, 0.923, 0.010, 0.028], [0.093, 0.138, 0.623, 0.146], [0.028, 0.928, 0.033, 0.011], [0.012, 0.961, 0.017, 0.010], [0.010, 0.887, 0.022, 0.081], [0.511, 0.438, 0.034, 0.017], [0.054, 0.695, 0.088, 0.163], [0.187, 0.313, 0.010, 0.490]]]",SP8
