,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
MC00183|Snai1,1.0084892980958828e-09,,Cistrome,,16,,,BetaBetaAlpha-zinc finger Family,,snail homolog 1 (Drosophila),Mus Musculus,myoblasts,20613,Snai1,AI194338 Sna Sna1 Snail Snail1,NM_011427,80.0,,,,,,6786(1/1),-23.929000000000002,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (5) denovo (6) denovo (7) denovo (8) denovo (10) denovo (12) denovo,(0)  (1)  (2)  (3)  (4)  (5)  (6)  (7)  (8)  (10)  (12),,11.0,"[[[0.113, 0.388, 0.086, 0.412], [0.010, 0.010, 0.949, 0.031], [0.021, 0.031, 0.924, 0.024], [0.863, 0.065, 0.031, 0.041], [0.010, 0.928, 0.045, 0.017], [0.938, 0.024, 0.031, 0.007], [0.017, 0.014, 0.928, 0.041], [0.034, 0.859, 0.041, 0.065], [0.179, 0.017, 0.399, 0.406], [0.106, 0.667, 0.210, 0.017], [0.103, 0.780, 0.014, 0.103], [0.240, 0.450, 0.131, 0.179], [0.272, 0.223, 0.357, 0.148]]]"
MS00228|TFAP2B,1.1876439625097804e-09,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),Homo Sapiens,293FT,7021,TFAP2B,,NM_003221,,,,,,,,,,,,,"[[[0.225, 0.240, 0.057, 0.478], [0.136, 0.203, 0.640, 0.021], [0.010, 0.905, 0.075, 0.010], [0.010, 0.969, 0.010, 0.011], [0.010, 0.639, 0.048, 0.303], [0.066, 0.376, 0.214, 0.344], [0.409, 0.256, 0.279, 0.056], [0.401, 0.067, 0.522, 0.010], [0.025, 0.010, 0.955, 0.010], [0.010, 0.114, 0.866, 0.010], [0.023, 0.796, 0.121, 0.060], [0.579, 0.059, 0.211, 0.151]]]"
M00514|ATF4,1.5573172429033112e-09,,Transfac,,4,,P1481798. Binding matrices compiled for TRANSFAC Book 2 0002 (2001),Leucine Zipper Family,,activating transcription factor 4 (tax-responsive enhancer element B67),Homo Sapiens,,468,ATF4,CREB-2 CREB2 TAXREB67 TXREB,NM_001675|NM_182810,200.0,,,,,,,,,,,,"[[[0.010, 0.647, 0.333, 0.010], [0.286, 0.418, 0.286, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.857, 0.123], [0.837, 0.010, 0.143, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.714, 0.266], [0.010, 0.571, 0.010, 0.409], [0.551, 0.429, 0.010, 0.010], [0.694, 0.010, 0.286, 0.010], [0.010, 0.286, 0.286, 0.418], [0.200, 0.200, 0.590, 0.010]]]"
MS00815|E2F1,1.688580153197352e-09,,SELEX,,9,,23332764,Transcription Factor Family,,E2F transcription factor 1,Homo Sapiens,239FT,1869,E2F1,,NM_005225,,,,,,,,,,,,,"[[[0.328, 0.090, 0.108, 0.474], [0.278, 0.084, 0.126, 0.512], [0.276, 0.020, 0.066, 0.638], [0.165, 0.010, 0.239, 0.586], [0.043, 0.121, 0.826, 0.010], [0.010, 0.031, 0.949, 0.010], [0.010, 0.969, 0.010, 0.011], [0.010, 0.010, 0.970, 0.010], [0.010, 0.920, 0.060, 0.010], [0.010, 0.831, 0.118, 0.041], [0.691, 0.199, 0.021, 0.089], [0.658, 0.082, 0.010, 0.250], [0.537, 0.064, 0.122, 0.277], [0.462, 0.057, 0.100, 0.381]]]"
MS00534|CENPB,2.0290514102757456e-09,,SELEX,,9,,23332764,CENP-B box binding Family,,"centromere protein B, 80kDa",Homo Sapiens,293FT,1059,CENPB,,NM_001810,,,,,,,,,,,,,"[[[0.098, 0.787, 0.010, 0.105], [0.017, 0.948, 0.010, 0.025], [0.010, 0.970, 0.010, 0.010], [0.028, 0.030, 0.908, 0.034], [0.010, 0.574, 0.149, 0.267], [0.395, 0.113, 0.206, 0.286], [0.047, 0.069, 0.010, 0.874], [0.306, 0.294, 0.207, 0.193], [0.232, 0.316, 0.265, 0.187], [0.389, 0.147, 0.136, 0.328], [0.536, 0.101, 0.276, 0.087], [0.048, 0.925, 0.010, 0.017], [0.133, 0.013, 0.844, 0.010], [0.684, 0.072, 0.010, 0.234], [0.910, 0.047, 0.010, 0.033]]]"
MC00182|E2F1,2.340362335409012e-09,,Cistrome,,20,,20622854,Transcription Factor Family,,E2F transcription factor 1,Homo Sapiens,Epithelial / HeLa,1869,E2F1,E2F-1 RBAP1 RBBP3 RBP3,NM_005225,145.0,,,,,,313(1/1),-24.8378,(0) E2F-1 E2F1 (1) E2F-1 E2F1 (2) denovo (3) denovo (4) denovo (5) E2F4::TFDP2 (6) E2F1 E2f1 (7) denovo (8) denovo (9) E2F1::TFDP1 (10) E2F-1 E2F1 (11) E2F1::TFDP2 (12) E2F (13) E2F1 E2f1 (14) E2F1 E2f1 (15) E2F4::TFDP1 (16) E2F-1 E2F1 (17) E2F1 (18) E2F1 E2f1 (19) E2F1 E2f1 (20) E2F1 (21) E2F-1 E2F1 (23) UGA3 (24) E2F1 (25) E2F-1 E2F1 (26) denovo (27) E2F1 (28) E2F-1 E2F1 (29) E2F1 E2f1 (30) E2F1,(0)  (1)  (2)  (3)  (4)  (5)  (6) Transcription Factor Family (7)  (8)  (9)  (10)  (11)  (12)  (13) Transcription Factor Family (14) Transcription Factor Family (15)  (16)  (17) Transcription Factor Family (18) Transcription Factor Family (19) Transcription Factor Family (20) Transcription Factor Family (21)  (23)  (24) Transcription Factor Family (25)  (26)  (27) Transcription Factor Family (28)  (29) Transcription Factor Family (30) Transcription Factor Family,,30.0,"[[[0.252, 0.066, 0.371, 0.311], [0.063, 0.166, 0.155, 0.617], [0.088, 0.052, 0.055, 0.805], [0.053, 0.135, 0.005, 0.807], [0.008, 0.713, 0.275, 0.004], [0.008, 0.499, 0.480, 0.013], [0.013, 0.962, 0.003, 0.022], [0.009, 0.005, 0.974, 0.011], [0.008, 0.694, 0.291, 0.006], [0.005, 0.588, 0.265, 0.141]]]"
MS00312|ZBTB7B,2.3824027518436694e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7B,Homo Sapiens,293FT,51043,ZBTB7B,,NM_015872,,,,,,,,,,,,,"[[[0.288, 0.086, 0.429, 0.197], [0.063, 0.814, 0.099, 0.024], [0.168, 0.010, 0.789, 0.033], [0.866, 0.114, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.674, 0.306, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.234, 0.138, 0.539, 0.089], [0.677, 0.108, 0.081, 0.134], [0.538, 0.167, 0.132, 0.163]]]"
MS00090|HINFP1,2.4796981586201644e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,,Homo Sapiens,293T,,HINFP1,,,,,,,,,,,,,,,"[[[0.043, 0.011, 0.936, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.283, 0.697, 0.010], [0.030, 0.224, 0.198, 0.548], [0.037, 0.145, 0.234, 0.584], [0.010, 0.494, 0.465, 0.031], [0.555, 0.186, 0.173, 0.086], [0.539, 0.102, 0.344, 0.015], [0.010, 0.784, 0.196, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.967, 0.013, 0.010]]]"
MS00334|ZIC1,2.7953564728624535e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,"Zic family member 1 (odd-paired homolog, Drosophila)",Homo Sapiens,293FT,7545,ZIC1,,NM_003412,,,,,,,,,,,,,"[[[0.028, 0.099, 0.647, 0.226], [0.683, 0.081, 0.226, 0.010], [0.028, 0.952, 0.010, 0.010], [0.041, 0.939, 0.010, 0.010], [0.089, 0.868, 0.011, 0.032], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.621, 0.010, 0.359], [0.063, 0.010, 0.917, 0.010], [0.010, 0.782, 0.013, 0.195], [0.034, 0.049, 0.155, 0.762], [0.010, 0.010, 0.970, 0.010], [0.109, 0.268, 0.059, 0.564], [0.010, 0.014, 0.904, 0.072]]]"
UP00065|Zfp161,3.149972751058451e-09,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,zinc finger protein 161,Mus Musculus,,22666,Zfp161,ZF5,NM_009547,94.0,,,,,,,,,,,,"[[[0.143, 0.111, 0.284, 0.462], [0.221, 0.081, 0.499, 0.199], [0.290, 0.042, 0.605, 0.063], [0.110, 0.560, 0.215, 0.115], [0.112, 0.023, 0.851, 0.014], [0.016, 0.942, 0.010, 0.032], [0.089, 0.010, 0.891, 0.010], [0.010, 0.903, 0.010, 0.077], [0.036, 0.010, 0.942, 0.012], [0.015, 0.851, 0.023, 0.111], [0.325, 0.049, 0.520, 0.106], [0.063, 0.605, 0.042, 0.290], [0.214, 0.388, 0.126, 0.272], [0.129, 0.373, 0.092, 0.406], [0.269, 0.098, 0.484, 0.149], [0.362, 0.156, 0.189, 0.293]]]"
MC00332|PAX5,3.149972751058451e-09,,Cistrome,,18,,,Homeodomain Family,,paired box 5,Homo Sapiens,GM12878,5079,PAX5,BSAP,NM_016734,32.0,,,,,,1697(3/4),-39.3208,(0) denovo (1) denovo (2) denovo (3) denovo (4) PAX6 (8) Pax-6 PAX6,(0)  (1)  (2)  (3)  (4) Homeodomain Family (8),,6.0,"[[[0.181, 0.325, 0.201, 0.292], [0.244, 0.274, 0.311, 0.171], [0.066, 0.035, 0.701, 0.198], [0.086, 0.228, 0.054, 0.633], [0.018, 0.884, 0.044, 0.055], [0.862, 0.045, 0.048, 0.044], [0.062, 0.515, 0.065, 0.358], [0.076, 0.072, 0.831, 0.021], [0.020, 0.680, 0.283, 0.018], [0.239, 0.267, 0.041, 0.453], [0.043, 0.290, 0.052, 0.614], [0.040, 0.339, 0.533, 0.087], [0.342, 0.162, 0.471, 0.026], [0.128, 0.517, 0.218, 0.137], [0.080, 0.106, 0.114, 0.699], [0.139, 0.032, 0.799, 0.030]]]"
MA0145|Tcfcp2l1,3.2488295193418175e-09,,JASPAR,,6,,18555785,CP2 Transcription Factor Domain Family,,transcription factor CP2-like 1,Mus Musculus,,81879,Tcfcp2l1,1810030F05Rik 4932442M07Rik AA575098 Cp2l1 Crtr-1 D930018N21Rik LBP-9,NM_023755,111.0,,,,,,,,,,,,"[[[0.010, 0.917, 0.063, 0.010], [0.070, 0.808, 0.010, 0.112], [0.595, 0.010, 0.276, 0.119], [0.010, 0.024, 0.956, 0.010], [0.175, 0.336, 0.026, 0.463], [0.098, 0.289, 0.062, 0.551], [0.174, 0.397, 0.151, 0.278], [0.357, 0.225, 0.252, 0.166], [0.632, 0.070, 0.191, 0.107], [0.394, 0.051, 0.310, 0.245], [0.010, 0.925, 0.055, 0.010], [0.062, 0.812, 0.010, 0.116], [0.537, 0.010, 0.306, 0.147], [0.012, 0.029, 0.949, 0.010]]]"
MS00323|ZBTB7C,3.5170920552650366e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7C,Homo Sapiens,293T,201501,ZBTB7C,,NM_001039360,,,,,,,,,,,,,"[[[0.267, 0.116, 0.456, 0.161], [0.120, 0.667, 0.141, 0.072], [0.215, 0.078, 0.623, 0.084], [0.795, 0.176, 0.010, 0.019], [0.037, 0.943, 0.010, 0.010], [0.010, 0.966, 0.010, 0.014], [0.774, 0.206, 0.010, 0.010], [0.017, 0.957, 0.010, 0.016], [0.072, 0.813, 0.043, 0.072], [0.249, 0.136, 0.517, 0.098], [0.477, 0.208, 0.118, 0.197], [0.327, 0.309, 0.193, 0.171]]]"
M00961|VDR,3.5481963197775843e-09,,Transfac,,4,,"P1481531. half-site matrices, Rel93 Book 0002 (2005)|P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002)",Hormone-nuclear Receptor Family,,"vitamin D (1,25- dihydroxyvitamin D3) receptor",Homo Sapiens,,7421,VDR,NR1I1,NM_000376|NM_001017535,308.0,,,,,,,,,,,,"[[[0.238, 0.524, 0.190, 0.048], [0.143, 0.381, 0.190, 0.286], [0.048, 0.381, 0.381, 0.190], [0.190, 0.190, 0.333, 0.287], [0.190, 0.238, 0.333, 0.239], [0.048, 0.048, 0.095, 0.809], [0.095, 0.095, 0.762, 0.048], [0.894, 0.048, 0.048, 0.010], [0.704, 0.238, 0.048, 0.010], [0.048, 0.810, 0.095, 0.047], [0.048, 0.762, 0.095, 0.095], [0.286, 0.333, 0.095, 0.286]]]"
MS00183|GMEB2,3.5795680317220994e-09,,SELEX,,9,,23332764,Sand Domain Family,,glucocorticoid modulatory element binding protein 2,Homo Sapiens,E.Coli and mammalian,26205,GMEB2,,NM_012384,,,,,,,,,,,,,"[[[0.080, 0.264, 0.098, 0.558], [0.884, 0.014, 0.090, 0.012], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.959, 0.021], [0.104, 0.100, 0.010, 0.786], [0.799, 0.054, 0.076, 0.071], [0.733, 0.156, 0.090, 0.021], [0.123, 0.670, 0.104, 0.103], [0.064, 0.204, 0.220, 0.512], [0.024, 0.267, 0.414, 0.295], [0.857, 0.011, 0.108, 0.024], [0.010, 0.941, 0.039, 0.010], [0.010, 0.011, 0.958, 0.021], [0.031, 0.289, 0.023, 0.657], [0.839, 0.065, 0.066, 0.030]]]"
MC00221|Tbx3,3.740516999666813e-09,,Cistrome,,16,,,Transcription Factor T-Domain,,T-box 3,Mus Musculus,Myocytes,21386,Tbx3,D5Ertd189e,XM_001477632|NM_011535|NM_198052,43.0,,,,,,6584(1/2),-15.6293,(0) denovo (1) denovo,(0)  (1),,2.0,"[[[0.038, 0.394, 0.529, 0.040], [0.041, 0.869, 0.043, 0.048], [0.050, 0.035, 0.873, 0.042], [0.030, 0.406, 0.531, 0.032], [0.009, 0.955, 0.023, 0.013], [0.039, 0.221, 0.252, 0.488], [0.028, 0.457, 0.492, 0.023], [0.041, 0.866, 0.048, 0.045], [0.057, 0.066, 0.826, 0.051], [0.031, 0.608, 0.328, 0.033]]]"
MS00301|ZBTB7A,3.995211334239472e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7A,Homo Sapiens,293T,51341,ZBTB7A,,NM_015898,,,,,,,,,,,,,"[[[0.169, 0.198, 0.390, 0.243], [0.162, 0.134, 0.608, 0.096], [0.010, 0.892, 0.088, 0.010], [0.106, 0.010, 0.874, 0.010], [0.767, 0.188, 0.010, 0.035], [0.010, 0.969, 0.010, 0.011], [0.016, 0.927, 0.031, 0.026], [0.897, 0.062, 0.010, 0.031], [0.010, 0.970, 0.010, 0.010], [0.175, 0.737, 0.038, 0.050], [0.164, 0.158, 0.497, 0.181], [0.480, 0.211, 0.200, 0.109]]]"
MS00678|EGR4,4.101742827677106e-09,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,early growth response 4,Homo Sapiens,293FT,1961,EGR4,,NM_001965,,,,,,,,,,,,,"[[[0.209, 0.261, 0.180, 0.350], [0.209, 0.304, 0.096, 0.391], [0.551, 0.387, 0.030, 0.032], [0.020, 0.887, 0.030, 0.063], [0.063, 0.054, 0.803, 0.080], [0.010, 0.957, 0.014, 0.019], [0.025, 0.936, 0.023, 0.016], [0.010, 0.938, 0.024, 0.028], [0.718, 0.168, 0.056, 0.058], [0.010, 0.915, 0.024, 0.051], [0.025, 0.196, 0.751, 0.028], [0.010, 0.906, 0.038, 0.046], [0.682, 0.124, 0.123, 0.071], [0.324, 0.264, 0.077, 0.335], [0.259, 0.143, 0.115, 0.483], [0.210, 0.197, 0.165, 0.428]]]"
MC00257|Pax5,4.3995084333772276e-09,,Cistrome,,20,,,Homeodomain Family,,paired box gene 5,Mus Musculus,B Lymphocyte,18507,Pax5,BSAP EBB-1 KLP Pax-5,NM_008782,32.0,,,,,,6977(6/8),-48.6339,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (6) denovo (7) PAX5 Pax5 (10) PAX6 Pax6 (12) denovo (18) ZNF423 Zfp423,(0)  (1)  (2)  (3)  (4)  (6)  (7) Homeodomain Family (10) Homeodomain Family (12)  (18) BetaBetaAlpha-zinc finger Family (zf-C2H2),,10.0,"[[[0.324, 0.177, 0.399, 0.100], [0.295, 0.148, 0.253, 0.304], [0.435, 0.056, 0.452, 0.057], [0.310, 0.135, 0.334, 0.221], [0.030, 0.261, 0.410, 0.299], [0.049, 0.792, 0.009, 0.150], [0.837, 0.048, 0.068, 0.047], [0.185, 0.163, 0.520, 0.132], [0.024, 0.714, 0.181, 0.080], [0.141, 0.650, 0.158, 0.051], [0.707, 0.021, 0.238, 0.034], [0.573, 0.038, 0.154, 0.235], [0.010, 0.311, 0.664, 0.015], [0.022, 0.764, 0.039, 0.175], [0.399, 0.034, 0.528, 0.039], [0.040, 0.030, 0.160, 0.770], [0.230, 0.029, 0.709, 0.032], [0.610, 0.072, 0.183, 0.135], [0.245, 0.644, 0.066, 0.045]]]"
MC00510|E2f3,4.418800766238105e-09,,Cistrome,,16,,22157815,Transcription Factor Family,,E2F transcription factor 3,Mus Musculus,Fibroblast,13557,E2f3,,NM_010093,,,,,,,5006(1/2),-33.6646,(1) denovo|(2) denovo|(5) denovo|(8) denovo|(14) denovo|(15) denovo|(19) denovo|(20) denovo|(21) SP2|(23) denovo,(1)|(2)|(5)|(8)|(14)|(15)|(19)|(20)|(21) BetaBetaAlpha-zinc finger Family|(23),,10.0,"[[[0.154, 0.129, 0.549, 0.167], [0.072, 0.234, 0.685, 0.009], [0.008, 0.014, 0.969, 0.008], [0.010, 0.976, 0.009, 0.004], [0.009, 0.012, 0.975, 0.003], [0.011, 0.011, 0.975, 0.002], [0.002, 0.016, 0.968, 0.013], [0.970, 0.012, 0.010, 0.007], [0.462, 0.116, 0.408, 0.014], [0.209, 0.301, 0.477, 0.012]]]"
MS00229|TFAP2B,4.80137376715274e-09,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),Homo Sapiens,293FT,7021,TFAP2B,,NM_003221,,,,,,,,,,,,,"[[[0.393, 0.310, 0.051, 0.246], [0.010, 0.132, 0.848, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.946, 0.010, 0.034], [0.010, 0.265, 0.135, 0.590], [0.127, 0.467, 0.329, 0.077], [0.758, 0.134, 0.098, 0.010], [0.049, 0.010, 0.931, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.915, 0.065, 0.010], [0.400, 0.082, 0.253, 0.265]]]"
MC00320|EGR1,5.216066139595127e-09,,Cistrome,,16,,None,BetaBetaAlpha-zinc finger Family,,early growth response 1,Homo Sapiens,K562,1958,EGR1,,NM_001964,,,,,,,2778(2/2),-55.6656,(1) denovo|(2) denovo|(3) denovo|(4) EGR4|(5) Egr-1|(6) EGR3|(7) EGR2|(8) Egr1|(9) denovo|(10) denovo|(11) denovo|(12) Egr|(13) denovo|(14) SP1|(15) denovo|(16) denovo|(18) Sp1|(19) SP4|(20) Sp1|(21) Sp1|(24) Sp1,(1)|(2)|(3)|(4) BetaBetaAlpha-zinc finger Family|(5)|(6) BetaBetaAlpha-zinc finger Family|(7) BetaBetaAlpha-zinc finger Family|(8) BetaBetaAlpha-zinc finger Family|(9)|(10)|(11)|(12)|(13)|(14) BetaBetaAlpha-zinc finger Family|(15)|(16)|(18) BetaBetaAlpha-zinc finger Family|(19) BetaBetaAlpha-zinc finger Family|(20) BetaBetaAlpha-zinc finger Family|(21) BetaBetaAlpha-zinc finger Family|(24) BetaBetaAlpha-zinc finger Family,,21.0,"[[[0.180, 0.773, 0.019, 0.027], [0.006, 0.985, 0.005, 0.004], [0.240, 0.002, 0.658, 0.100], [0.005, 0.991, 0.004, 0.000], [0.000, 0.996, 0.003, 0.001], [0.003, 0.978, 0.002, 0.017], [0.477, 0.516, 0.005, 0.002], [0.000, 0.997, 0.003, 0.000], [0.079, 0.007, 0.812, 0.102], [0.007, 0.952, 0.015, 0.026], [0.372, 0.325, 0.169, 0.134], [0.098, 0.453, 0.274, 0.175], [0.138, 0.409, 0.239, 0.214]]]"
UP00001|E2F2,5.216066139595127e-09,,UniPROBE,,9,,19443739,Transcription Factor Family,,E2F transcription factor 2,Homo Sapiens,,1870,E2F2,E2F-2,NM_004091,94.0,,,,,,,,,,,,"[[[0.306, 0.214, 0.269, 0.211], [0.280, 0.218, 0.141, 0.361], [0.391, 0.162, 0.194, 0.253], [0.702, 0.102, 0.042, 0.154], [0.428, 0.068, 0.325, 0.179], [0.144, 0.191, 0.610, 0.055], [0.014, 0.021, 0.955, 0.010], [0.020, 0.957, 0.013, 0.010], [0.010, 0.024, 0.956, 0.010], [0.010, 0.902, 0.078, 0.010], [0.011, 0.098, 0.865, 0.026], [0.039, 0.865, 0.025, 0.071], [0.148, 0.328, 0.407, 0.117], [0.463, 0.204, 0.108, 0.225], [0.293, 0.230, 0.083, 0.394]]]"
MS00240|Tcfap2a,5.5436964600204055e-09,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,"transcription factor AP-2, alpha",Mus Musculus,293T,21418,Tcfap2a,,NM_001122948|NM_011547,,,,,,,,,,,,,"[[[0.355, 0.375, 0.070, 0.200], [0.010, 0.139, 0.831, 0.020], [0.010, 0.945, 0.035, 0.010], [0.010, 0.923, 0.030, 0.037], [0.010, 0.314, 0.118, 0.558], [0.059, 0.520, 0.373, 0.048], [0.700, 0.151, 0.139, 0.010], [0.037, 0.036, 0.917, 0.010], [0.010, 0.063, 0.917, 0.010], [0.010, 0.923, 0.057, 0.010], [0.338, 0.074, 0.252, 0.336]]]"
MA0014|PAX5,5.714926084916566e-09,,JASPAR,,6,,8406007,Homeodomain Family,,paired box 5,Homo Sapiens,,5079,PAX5,BSAP,NM_016734,126.0,,,,,,,,,,,,"[[[0.333, 0.083, 0.333, 0.251], [0.333, 0.010, 0.647, 0.010], [0.333, 0.250, 0.250, 0.167], [0.083, 0.167, 0.417, 0.333], [0.167, 0.583, 0.083, 0.167], [0.583, 0.167, 0.083, 0.167], [0.167, 0.417, 0.250, 0.166], [0.010, 0.250, 0.167, 0.573], [0.083, 0.167, 0.667, 0.083], [0.500, 0.083, 0.250, 0.167], [0.500, 0.010, 0.167, 0.323], [0.010, 0.010, 0.970, 0.010], [0.167, 0.667, 0.083, 0.083], [0.250, 0.010, 0.730, 0.010], [0.083, 0.010, 0.333, 0.574], [0.490, 0.083, 0.417, 0.010], [0.417, 0.083, 0.417, 0.083], [0.167, 0.813, 0.010, 0.010], [0.167, 0.406, 0.417, 0.010], [0.417, 0.010, 0.500, 0.073]]]"
MC00113|SP1,5.714926084916566e-09,,Cistrome,,16,,None,BetaBetaAlpha-zinc finger Family,,Sp1 transcription factor,Homo Sapiens,H1,6667,SP1,,NM_003109|NM_138473,,,,,,,2556(1/2),-36.3088,(1) NFYA|(2) NFYA|(3) denovo|(4) denovo|(5) NFYA|(6) NFYA|(7) denovo|(8) denovo|(9) CCAAT box|(10) HAP2/3/4|(11) denovo|(12) denovo|(13) denovo|(15) denovo|(16) denovo|(17) NFYA|(18) denovo|(20) NFYA|(21) ACAAT,(1) NF-Y CCAAT-Binding Protein Family|(2) NF-Y CCAAT-Binding Protein Family|(3)|(4)|(5) NF-Y CCAAT-Binding Protein Family|(6) NF-Y CCAAT-Binding Protein Family|(7)|(8)|(9)|(10)|(11)|(12)|(13)|(15)|(16)|(17) NF-Y CCAAT-Binding Protein Family|(18)|(20) NF-Y CCAAT-Binding Protein Family|(21),,19.0,"[[[0.203, 0.297, 0.289, 0.211], [0.159, 0.405, 0.064, 0.372], [0.099, 0.174, 0.290, 0.438], [0.101, 0.547, 0.203, 0.150], [0.023, 0.338, 0.060, 0.580], [0.038, 0.329, 0.475, 0.158], [0.934, 0.023, 0.021, 0.023], [0.015, 0.021, 0.018, 0.946], [0.010, 0.010, 0.014, 0.965], [0.015, 0.007, 0.956, 0.022], [0.027, 0.008, 0.952, 0.013], [0.107, 0.499, 0.053, 0.340], [0.032, 0.372, 0.109, 0.487], [0.302, 0.194, 0.384, 0.119], [0.332, 0.217, 0.291, 0.160], [0.162, 0.238, 0.283, 0.317]]]"
M00448|ZIC1,6.593852352749542e-09,,Transfac,,4,,11053430,BetaBetaAlpha-zinc finger Family,,"Zic family member 1 (odd-paired homolog, Drosophila)",Homo Sapiens,,7545,ZIC1,ZIC ZNF201,NM_003412,27.0,,,,,,,,,,,,"[[[0.033, 0.200, 0.333, 0.434], [0.200, 0.100, 0.667, 0.033], [0.067, 0.067, 0.800, 0.066], [0.067, 0.133, 0.633, 0.167], [0.067, 0.067, 0.200, 0.666], [0.133, 0.167, 0.567, 0.133], [0.100, 0.100, 0.790, 0.010], [0.033, 0.167, 0.133, 0.667], [0.167, 0.667, 0.100, 0.066]]]"
MC00427|ETV1,8.430612125987791e-09,,Cistrome,,16,,22012618,Ets Domain Family,,ets variant 1,Homo Sapiens,RWPE1,2115,ETV1,,NM_001163147|NM_001163148|NM_001163149|NM_001163150|NM_001163151|NM_001163152|NM_004956,,,,,,,4844(1/1),-19.6806,(1) denovo|(2) ELF1|(3) denovo|(4) WRNIP1|(5) denovo|(6) denovo|(7) RARG,(1)|(2) Ets Domain Family|(3)|(4)|(5)|(6)|(7) Hormone-nuclear Receptor Family,,7.0,"[[[0.156, 0.294, 0.447, 0.102], [0.207, 0.281, 0.423, 0.089], [0.207, 0.239, 0.436, 0.117], [0.364, 0.158, 0.454, 0.025], [0.076, 0.647, 0.251, 0.027], [0.328, 0.633, 0.025, 0.013], [0.011, 0.019, 0.966, 0.003], [0.008, 0.009, 0.973, 0.009], [0.942, 0.015, 0.031, 0.012], [0.854, 0.033, 0.030, 0.084], [0.034, 0.051, 0.904, 0.011], [0.025, 0.348, 0.036, 0.591], [0.141, 0.154, 0.636, 0.068], [0.210, 0.235, 0.515, 0.040], [0.176, 0.388, 0.350, 0.086], [0.139, 0.226, 0.461, 0.175]]]"
M00717|PAX8,8.576696008514953e-09,,Transfac,,4,,8615801,Homeodomain Family,,paired box 8,Homo Sapiens,,7849,PAX8,-,NM_003466|NM_013951|NM_013952|NM_013953|NM_013992,58.0,,,,,,,,,,,,"[[[0.143, 0.429, 0.229, 0.199], [0.429, 0.200, 0.143, 0.228], [0.200, 0.229, 0.314, 0.257], [0.200, 0.200, 0.057, 0.543], [0.257, 0.257, 0.229, 0.257], [0.314, 0.200, 0.143, 0.343], [0.200, 0.314, 0.086, 0.400], [0.086, 0.143, 0.657, 0.114], [0.257, 0.486, 0.171, 0.086], [0.286, 0.057, 0.571, 0.086], [0.057, 0.029, 0.114, 0.800], [0.086, 0.029, 0.771, 0.114], [0.657, 0.086, 0.171, 0.086], [0.286, 0.114, 0.400, 0.200], [0.229, 0.229, 0.143, 0.399]]]"
